gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00028647	POLR2F	POLR2F	control	treated	1.08374769195761e-15	43
geneComp_00026519	NLRP2	NLRP2	control	treated	1.2563943842938e-15	44
geneComp_00018951	GBA	GBA	control	treated	1.79678588601294e-15	45
geneComp_00027618	PALM	PALM	control	treated	1.79678588601294e-15	46
geneComp_00019554	GRK2	GRK2	control	treated	8.6972455509252e-15	47
geneComp_00033857	SMG8	SMG8	control	treated	2.84159072568172e-14	48
geneComp_00033349	SLC12A5	SLC12A5	control	treated	3.55750577711559e-14	49
geneComp_00018245	FBXO9	FBXO9	control	treated	1.79255813138941e-13	50
geneComp_00016873	DPP9	DPP9	control	treated	9.98114202321665e-13	51
geneComp_00036642	TTC12	TTC12	control	treated	1.00266464465757e-12	52
geneComp_00026578	NOL6	NOL6	control	treated	2.6848484416969e-12	53
geneComp_00020114	HJV	HJV	control	treated	5.42345849760837e-12	54
geneComp_00022389	LINC00847	LINC00847	control	treated	6.31312904116591e-12	55
geneComp_00024097	MAGOHB	MAGOHB	control	treated	6.90025366268628e-12	56
geneComp_00024165	MAP3K12	MAP3K12	control	treated	9.20733929495639e-12	57
geneComp_00038735	ZNF813	ZNF813	control	treated	9.93103141640587e-12	58
geneComp_00013981	C9orf16	C9orf16	control	treated	1.08815338271033e-11	59
geneComp_00035913	TMEM234	TMEM234	control	treated	2.07049139723956e-11	60
geneComp_00036172	TOMM40L	TOMM40L	control	treated	2.31099392405951e-11	61
geneComp_00002036	AC010894.1	AC010894.1	control	treated	4.0262176311357e-11	62
geneComp_00025863	MXI1	MXI1	control	treated	5.61198396223234e-11	63
geneComp_00028506	PLSCR3	PLSCR3	control	treated	6.09283180121224e-11	64
geneComp_00030212	RMND5A	RMND5A	control	treated	1.45490239834485e-10	65
geneComp_00018977	GCH1	GCH1	control	treated	2.07413305910219e-10	66
geneComp_00019891	HARS2	HARS2	control	treated	2.7555921691647e-10	67
geneComp_00038346	ZNF331	ZNF331	control	treated	2.87275135210454e-10	68
geneComp_00026366	NEURL4	NEURL4	control	treated	4.31095671198789e-10	69
geneComp_00025514	MSH2	MSH2	control	treated	4.33927355060756e-10	70
geneComp_00031738	RPAP1	RPAP1	control	treated	5.44722671143802e-10	71
geneComp_00008367	AK7	AK7	control	treated	6.58271889946737e-10	72
geneComp_00030122	RHOC	RHOC	control	treated	1.1567576875837e-09	73
geneComp_00036093	TNFRSF1A	TNFRSF1A	control	treated	1.2644214153038e-09	74
geneComp_00017830	FAM104B	FAM104B	control	treated	1.88664341545791e-09	75
geneComp_00036071	TNFAIP1	TNFAIP1	control	treated	2.23213613704032e-09	76
geneComp_00017047	DYNC1LI1	DYNC1LI1	control	treated	2.36429850507118e-09	77
geneComp_00013553	BTN3A2	BTN3A2	control	treated	2.44014794204298e-09	78
geneComp_00000841	AC006064.6	AC006064.6	control	treated	4.91529488730824e-09	79
geneComp_00032944	SEMA4D	SEMA4D	control	treated	5.21983730600272e-09	80
geneComp_00024390	ME2	ME2	control	treated	5.7486237339586e-09	81
geneComp_00038484	ZNF524	ZNF524	control	treated	8.97952871111617e-09	82
geneComp_00038280	ZNF250	ZNF250	control	treated	9.69844387857353e-09	83
geneComp_00029133	PRPSAP2	PRPSAP2	control	treated	1.01404901403694e-08	84
geneComp_00009236	AL133352.1	AL133352.1	control	treated	1.53771547020502e-08	85
geneComp_00022249	LINC00466	LINC00466	control	treated	1.54832047472912e-08	86
geneComp_00037137	UQCR11	UQCR11	control	treated	1.95264901814975e-08	87
geneComp_00018392	FIBP	FIBP	control	treated	2.0689290006782e-08	88
geneComp_00035207	TATDN3	TATDN3	control	treated	2.09035543183399e-08	89
geneComp_00014805	CEACAM1	CEACAM1	control	treated	2.41368753309703e-08	90
geneComp_00024442	MEF2C	MEF2C	control	treated	2.67089232108273e-08	91
geneComp_00025332	MPST	MPST	control	treated	4.16918875154839e-08	92
geneComp_00016527	DHCR24	DHCR24	control	treated	7.25969721208939e-08	93
geneComp_00019957	HDAC11	HDAC11	control	treated	8.41239499230974e-08	94
geneComp_00020413	HPCAL1	HPCAL1	control	treated	9.16838699465989e-08	95
geneComp_00021006	INPP1	INPP1	control	treated	1.23316752956665e-07	96
geneComp_00017431	EMC10	EMC10	control	treated	1.34215266944243e-07	97
geneComp_00028821	PPIL6	PPIL6	control	treated	1.43700203116195e-07	98
geneComp_00019917	HBE1	HBE1	control	treated	1.46276109339891e-07	99
geneComp_00027630	PANK1	PANK1	control	treated	1.70915068441744e-07	100
geneComp_00029165	PRR4	PRR4	control	treated	1.86832634549356e-07	101
geneComp_00017890	FAM156A	FAM156A	control	treated	1.96556397707144e-07	102
geneComp_00026537	NME3	NME3	control	treated	2.36782507601141e-07	103
geneComp_00036427	TRIM26	TRIM26	control	treated	2.57453106440327e-07	104
geneComp_00021075	IQCE	IQCE	control	treated	2.68520681650312e-07	105
geneComp_00021136	ISG20	ISG20	control	treated	2.78806135643877e-07	106
geneComp_00029364	PTGES2	PTGES2	control	treated	3.23308763733987e-07	107
geneComp_00011530	ALKBH7	ALKBH7	control	treated	3.72205509259908e-07	108
geneComp_00022733	LINC01474	LINC01474	control	treated	3.72205509259908e-07	109
geneComp_00033115	SFXN4	SFXN4	control	treated	3.95693961739148e-07	110
geneComp_00033124	SGK1	SGK1	control	treated	4.08612625216573e-07	111
geneComp_00011760	ANPEP	ANPEP	control	treated	6.26509272215452e-07	112
geneComp_00038082	ZFAND2A	ZFAND2A	control	treated	6.62438754216576e-07	113
geneComp_00032883	SEC22C	SEC22C	control	treated	7.05142801327961e-07	114
geneComp_00017570	EPPK1	EPPK1	control	treated	7.29259360104976e-07	115
geneComp_00022264	LINC00491	LINC00491	control	treated	7.60863886691914e-07	116
geneComp_00037213	USP37	USP37	control	treated	7.8288166045195e-07	117
geneComp_00008063	ADCK5	ADCK5	control	treated	8.71452805840187e-07	118
geneComp_00013730	C17orf49	C17orf49	control	treated	9.13250651603165e-07	119
geneComp_00027752	PCBP4	PCBP4	control	treated	9.76500952012805e-07	120
geneComp_00020006	HELLS	HELLS	control	treated	1.06548042287269e-06	121
geneComp_00035270	TBL1XR1	TBL1XR1	control	treated	1.12991213373643e-06	122
geneComp_00025543	MST1R	MST1R	control	treated	1.32550091024752e-06	123
geneComp_00018158	FARSA	FARSA	control	treated	1.41588873116866e-06	124
geneComp_00038424	ZNF442	ZNF442	control	treated	1.43782396051078e-06	125
geneComp_00035086	TAB3	TAB3	control	treated	1.44994408798856e-06	126
geneComp_00013094	B2M	B2M	control	treated	1.55265116509409e-06	127
geneComp_00001770	AC009779.3	AC009779.3	control	treated	1.56827526327576e-06	128
geneComp_00018748	FUZ	FUZ	control	treated	1.60679180326693e-06	129
geneComp_00016622	DKKL1	DKKL1	control	treated	1.70504912488234e-06	130
geneComp_00025833	MUC19	MUC19	control	treated	1.8028808535342e-06	131
geneComp_00028435	PLEKHA2	PLEKHA2	control	treated	1.93697191869293e-06	132
geneComp_00003500	AC025682.1	AC025682.1	control	treated	2.30241357987151e-06	133
geneComp_00014921	CEPT1	CEPT1	control	treated	2.30241357987151e-06	134
geneComp_00027984	PDZK1	PDZK1	control	treated	2.41826827140314e-06	135
geneComp_00017813	FADS3	FADS3	control	treated	2.52087020753001e-06	136
geneComp_00029338	PTCD2	PTCD2	control	treated	2.76480471132059e-06	137
geneComp_00034292	SOD2	SOD2	control	treated	2.83003946251342e-06	138
geneComp_00002872	AC019257.8	AC019257.8	control	treated	3.15809332129303e-06	139
geneComp_00021009	INPP5A	INPP5A	control	treated	3.15809332129303e-06	140
geneComp_00035516	TFRC	TFRC	control	treated	3.1682707308071e-06	141
geneComp_00016403	DDX39A	DDX39A	control	treated	3.2254453335948e-06	142
geneComp_00032922	SELENOP	SELENOP	control	treated	4.1105412199376e-06	143
geneComp_00026766	NRDE2	NRDE2	control	treated	4.92589168528508e-06	144
geneComp_00014657	CDC40	CDC40	control	treated	5.80137016522093e-06	145
geneComp_00029181	PRRT2	PRRT2	control	treated	5.94267110321472e-06	146
geneComp_00020876	IL15	IL15	control	treated	6.09012114043657e-06	147
geneComp_00031081	RNF25	RNF25	control	treated	6.18305217581188e-06	148
geneComp_00015001	CFHR4	CFHR4	control	treated	7.45881114125677e-06	149
geneComp_00023317	LINC02377	LINC02377	control	treated	7.60405500879488e-06	150
geneComp_00019603	GSN	GSN	control	treated	8.19542671167203e-06	151
geneComp_00029600	RAB40C	RAB40C	control	treated	8.75121992529092e-06	152
geneComp_00030087	RGS3	RGS3	control	treated	8.79371635401139e-06	153
geneComp_00012514	APOO	APOO	control	treated	8.96345959844453e-06	154
geneComp_00008292	AGPAT2	AGPAT2	control	treated	9.27646365469632e-06	155
geneComp_00036707	TTLL7	TTLL7	control	treated	9.92917982562824e-06	156
geneComp_00008087	ADGRD1	ADGRD1	control	treated	1.13811023085646e-05	157
geneComp_00037795	YWHAH	YWHAH	control	treated	1.21529784991332e-05	158
geneComp_00027070	OPRM1	OPRM1	control	treated	1.28666979055492e-05	159
geneComp_00026251	NDUFAF1	NDUFAF1	control	treated	1.44766177685773e-05	160
geneComp_00038224	ZNF17	ZNF17	control	treated	1.5840513999329e-05	161
geneComp_00017103	EBPL	EBPL	control	treated	1.76470578648837e-05	162
geneComp_00013763	C1GALT1	C1GALT1	control	treated	2.03176039621229e-05	163
geneComp_00033300	SIRT3	SIRT3	control	treated	2.0639979501805e-05	164
geneComp_00000853	AC006116.8	AC006116.8	control	treated	2.23644558651506e-05	165
geneComp_00029295	PSMD12	PSMD12	control	treated	2.30417569944161e-05	166
geneComp_00002280	AC012103.1	AC012103.1	control	treated	2.37535612695601e-05	167
geneComp_00032609	SAC3D1	SAC3D1	control	treated	2.38301687328616e-05	168
geneComp_00036682	TTC7A	TTC7A	control	treated	2.44303200471017e-05	169
geneComp_00033672	SLC52A2	SLC52A2	control	treated	2.44573717777639e-05	170
geneComp_00011892	AP000688.1	AP000688.1	control	treated	2.59077668031955e-05	171
geneComp_00021552	KIF1C	KIF1C	control	treated	2.67174590511076e-05	172
geneComp_00013216	BCAR3-AS1	BCAR3-AS1	control	treated	2.8722926734209e-05	173
geneComp_00020872	IL12RB2	IL12RB2	control	treated	2.91788661968362e-05	174
geneComp_00032027	RPL36	RPL36	control	treated	3.2723650762558e-05	175
geneComp_00014485	CCNE2	CCNE2	control	treated	3.30805866160885e-05	176
geneComp_00036847	TYW5	TYW5	control	treated	3.41054226730386e-05	177
geneComp_00013492	BRMS1L	BRMS1L	control	treated	3.61473768047199e-05	178
geneComp_00017854	FAM122C	FAM122C	control	treated	3.6917657084192e-05	179
geneComp_00014666	CDC42EP3	CDC42EP3	control	treated	4.28832813403507e-05	180
geneComp_00010973	AL583827.1	AL583827.1	control	treated	4.47307278864969e-05	181
geneComp_00014162	CARF	CARF	control	treated	4.66275987433829e-05	182
geneComp_00017072	DZIP3	DZIP3	control	treated	4.9049436671247e-05	183
geneComp_00032751	SCG3	SCG3	control	treated	5.17836807063193e-05	184
geneComp_00021098	IRAG2	IRAG2	control	treated	5.83703715817144e-05	185
geneComp_00029479	PWP1	PWP1	control	treated	6.56253333886511e-05	186
geneComp_00012428	AP1S1	AP1S1	control	treated	6.73226333744617e-05	187
geneComp_00036727	TUBA1C	TUBA1C	control	treated	7.07554509444368e-05	188
geneComp_00038686	ZNF761	ZNF761	control	treated	7.39018802056068e-05	189
geneComp_00017591	ERC1	ERC1	control	treated	7.72525950699767e-05	190
geneComp_00035269	TBL1X	TBL1X	control	treated	7.79746872308778e-05	191
geneComp_00025830	MUC15	MUC15	control	treated	8.11097390391378e-05	192
geneComp_00030155	RIC8B	RIC8B	control	treated	8.80873287715909e-05	193
geneComp_00038838	ZSCAN31	ZSCAN31	control	treated	9.28202119061869e-05	194
geneComp_00024581	MGME1	MGME1	control	treated	0.000109357210450006	195
geneComp_00015468	COA8	COA8	control	treated	0.000109991351494219	196
geneComp_00033004	SERGEF	SERGEF	control	treated	0.000112363473077808	197
geneComp_00033867	SMIM12	SMIM12	control	treated	0.000114627042192097	198
geneComp_00028320	PJA1	PJA1	control	treated	0.000132109993717935	199
geneComp_00034606	SRP54-AS1	SRP54-AS1	control	treated	0.000134253030699483	200
geneComp_00011577	AMIGO2	AMIGO2	control	treated	0.000137018974150407	201
geneComp_00017080	E2F5	E2F5	control	treated	0.000138384179744925	202
geneComp_00020490	HSF2	HSF2	control	treated	0.000142718717654509	203
geneComp_00020877	IL15RA	IL15RA	control	treated	0.000144487206924488	204
geneComp_00027716	PAXBP1-AS1	PAXBP1-AS1	control	treated	0.000149537963955371	205
geneComp_00013892	C4A	C4A	control	treated	0.000150600300705192	206
geneComp_00038327	ZNF304	ZNF304	control	treated	0.00015727774817141	207
geneComp_00013877	C3	C3	control	treated	0.000159526320024801	208
geneComp_00038398	ZNF415	ZNF415	control	treated	0.000173128625472061	209
geneComp_00012617	ARHGAP8	ARHGAP8	control	treated	0.000174032573523169	210
geneComp_00025713	MTMR8	MTMR8	control	treated	0.000177180999604264	211
geneComp_00011518	ALG6	ALG6	control	treated	0.000178498543484777	212
geneComp_00033944	SNAP23	SNAP23	control	treated	0.0001845639682474	213
geneComp_00022506	LINC01088	LINC01088	control	treated	0.000185251149101952	214
geneComp_00007889	ACOT7	ACOT7	control	treated	0.000185677934131101	215
geneComp_00015513	COL4A5	COL4A5	control	treated	0.000185677934131101	216
geneComp_00019571	GRM7-AS3	GRM7-AS3	control	treated	0.000185732166207985	217
geneComp_00029608	RAB4B-EGLN2	RAB4B-EGLN2	control	treated	0.000186029352186538	218
geneComp_00035528	TGFBR1	TGFBR1	control	treated	0.000189981441367203	219
geneComp_00021309	KATNAL2	KATNAL2	control	treated	0.00019463036038868	220
geneComp_00016502	DFFB	DFFB	control	treated	0.000214363306094294	221
geneComp_00011123	AL591684.2	AL591684.2	control	treated	0.000217706488280485	222
geneComp_00036524	TRNT1	TRNT1	control	treated	0.000228885921746601	223
geneComp_00008147	ADPRM	ADPRM	control	treated	0.000232850833026463	224
geneComp_00022425	LINC00907	LINC00907	control	treated	0.000235540891577983	225
geneComp_00032870	SEC14L2	SEC14L2	control	treated	0.000240326923212053	226
geneComp_00038308	ZNF282	ZNF282	control	treated	0.000249239322710716	227
geneComp_00027454	OSER1-DT	OSER1-DT	control	treated	0.000251179632242371	228
geneComp_00014779	CDPF1	CDPF1	control	treated	0.000252438023416441	229
geneComp_00024216	MAPK8IP1	MAPK8IP1	control	treated	0.000256019567446664	230
geneComp_00016907	DRAM2	DRAM2	control	treated	0.000257737180066691	231
geneComp_00012446	AP4M1	AP4M1	control	treated	0.000270155786399668	232
geneComp_00027512	OXCT1-AS1	OXCT1-AS1	control	treated	0.000277741032541002	233
geneComp_00038529	ZNF571-AS1	ZNF571-AS1	control	treated	0.000312806394840367	234
geneComp_00036801	TWF1	TWF1	control	treated	0.000321076786549857	235
geneComp_00013442	BORCS8	BORCS8	control	treated	0.000334422549077378	236
geneComp_00014928	CERS1	CERS1	control	treated	0.000335579312422357	237
geneComp_00038622	ZNF681	ZNF681	control	treated	0.000339175743427976	238
geneComp_00029636	RABGGTA	RABGGTA	control	treated	0.000340388656109194	239
geneComp_00023923	LSP1P4	LSP1P4	control	treated	0.000361563959013547	240
geneComp_00011008	AL589843.1	AL589843.1	control	treated	0.000374151500343787	241
geneComp_00018797	GABBR2	GABBR2	control	treated	0.000382896377508309	242
geneComp_00019995	HECTD2	HECTD2	control	treated	0.000383803510136136	243
geneComp_00038463	ZNF502	ZNF502	control	treated	0.000394298653215477	244
geneComp_00016639	DLGAP1	DLGAP1	control	treated	0.000395069489914596	245
geneComp_00034343	SP140L	SP140L	control	treated	0.000395069489914596	246
geneComp_00036323	TRAM2-AS1	TRAM2-AS1	control	treated	0.000401019395607706	247
geneComp_00033207	SHFL	SHFL	control	treated	0.000417286435789834	248
geneComp_00038696	ZNF772	ZNF772	control	treated	0.000425128380418476	249
geneComp_00016966	DTX2	DTX2	control	treated	0.000434315870296586	250
geneComp_00024469	MELTF-AS1	MELTF-AS1	control	treated	0.000434464463255278	251
geneComp_00027234	OR4G1P	OR4G1P	control	treated	0.000449143708115684	252
geneComp_00012619	ARHGDIA	ARHGDIA	control	treated	0.000451009151438661	253
geneComp_00019723	GXYLT2	GXYLT2	control	treated	0.000455429709780504	254
geneComp_00036604	TSPAN4	TSPAN4	control	treated	0.000487573269626053	255
geneComp_00027017	OGFR	OGFR	control	treated	0.000497979949244093	256
geneComp_00013740	C17orf99	C17orf99	control	treated	0.000498832079091514	257
geneComp_00022343	LINC00645	LINC00645	control	treated	0.000507042339009803	258
geneComp_00023473	LINC02616	LINC02616	control	treated	0.000515236039315028	259
geneComp_00038067	ZDHHC4	ZDHHC4	control	treated	0.000555126450637613	260
geneComp_00034270	SNX8	SNX8	control	treated	0.000558830002298381	261
geneComp_00036116	TNK2	TNK2	control	treated	0.000597174626833482	262
geneComp_00036570	TSEN34	TSEN34	control	treated	0.000605741109889612	263
geneComp_00026116	NBEAL1	NBEAL1	control	treated	0.000609169174065206	264
geneComp_00036504	TRMT10A	TRMT10A	control	treated	0.000650482739388585	265
geneComp_00037774	YPEL4	YPEL4	control	treated	0.000679942327629243	266
geneComp_00011886	AP000640.2	AP000640.2	control	treated	0.000692474726081164	267
geneComp_00003944	AC062037.3	AC062037.3	control	treated	0.000701650293378635	268
geneComp_00023878	LRRC8E	LRRC8E	control	treated	0.000719038983265177	269
geneComp_00021015	INPP5K	INPP5K	control	treated	0.000722043387306981	270
geneComp_00020104	HIPK1-AS1	HIPK1-AS1	control	treated	0.000751980611878068	271
geneComp_00029065	PRKRIP1	PRKRIP1	control	treated	0.000776931716777779	272
geneComp_00016763	DNAJC24	DNAJC24	control	treated	0.000798348237292526	273
geneComp_00008504	AL021937.3	AL021937.3	control	treated	0.000845064114075332	274
geneComp_00016784	DNASE1L1	DNASE1L1	control	treated	0.000860380352058424	275
geneComp_00003318	AC024075.3	AC024075.3	control	treated	0.000866286152218899	276
geneComp_00025267	MOCS2	MOCS2	control	treated	0.000881357116090479	277
geneComp_00019160	GLIPR2	GLIPR2	control	treated	0.000894974144351386	278
geneComp_00026989	OCEL1	OCEL1	control	treated	0.000902321250048489	279
geneComp_00024651	MIR100HG	MIR100HG	control	treated	0.000906296432425438	280
geneComp_00028403	PLCB2	PLCB2	control	treated	0.000907628801738045	281
geneComp_00000103	ABHD11	ABHD11	control	treated	0.000915211169409433	282
geneComp_00029534	R3HCC1	R3HCC1	control	treated	0.000921979616538854	283
geneComp_00014414	CCDC78	CCDC78	control	treated	0.000924565145317824	284
geneComp_00026409	NFKBIA	NFKBIA	control	treated	0.000989020208122352	285
geneComp_00013270	BDH2	BDH2	control	treated	0.00102338108569075	286
geneComp_00022511	LINC01094	LINC01094	control	treated	0.00102638637742324	287
geneComp_00005386	AC092919.1	AC092919.1	control	treated	0.00104071819285734	288
geneComp_00038194	ZNF112	ZNF112	control	treated	0.00111933674625464	289
geneComp_00022078	LIAS	LIAS	control	treated	0.00113284214229266	290
geneComp_00029551	RAB11FIP5	RAB11FIP5	control	treated	0.00115754251090373	291
geneComp_00016542	DHRS12	DHRS12	control	treated	0.00116659986158508	292
geneComp_00008371	AKAP10	AKAP10	control	treated	0.00119797686114983	293
geneComp_00018847	GAL3ST4	GAL3ST4	control	treated	0.00119930815330678	294
geneComp_00028243	PIGV	PIGV	control	treated	0.00120158012568013	295
geneComp_00033792	SLX1A-SULT1A3	SLX1A-SULT1A3	control	treated	0.00127382192787359	296
geneComp_00015799	CRPPA-AS1	CRPPA-AS1	control	treated	0.00129068787687818	297
geneComp_00014765	CDKN1A	CDKN1A	control	treated	0.00129619760884795	298
geneComp_00024033	MAD2L2	MAD2L2	control	treated	0.00129686484660145	299
geneComp_00020739	IGF1R	IGF1R	control	treated	0.00134529013935855	300
geneComp_00035960	TMEM38A	TMEM38A	control	treated	0.00147028183674107	301
geneComp_00009652	AL157400.2	AL157400.2	control	treated	0.00163952693052922	302
geneComp_00038819	ZRANB3	ZRANB3	control	treated	0.00164586960947847	303
geneComp_00034496	SPINK5	SPINK5	control	treated	0.00165709719871934	304
geneComp_00036923	UBE2F-SCLY	UBE2F-SCLY	control	treated	0.00170516029033988	305
geneComp_00003829	AC040970.1	AC040970.1	control	treated	0.00172770952062682	306
geneComp_00021014	INPP5J	INPP5J	control	treated	0.00173868400459862	307
geneComp_00035150	TANGO6	TANGO6	control	treated	0.00174163548573123	308
geneComp_00037215	USP39	USP39	control	treated	0.00184825217884481	309
geneComp_00032587	S100A13	S100A13	control	treated	0.00191075481334895	310
geneComp_00028629	POLL	POLL	control	treated	0.00192673606743848	311
geneComp_00023657	LIPH	LIPH	control	treated	0.00196705086409329	312
geneComp_00034861	STRADB	STRADB	control	treated	0.00199416197207946	313
geneComp_00028721	POU2F2	POU2F2	control	treated	0.00199743110358196	314
geneComp_00010028	AL353748.3	AL353748.3	control	treated	0.00200889971048003	315
geneComp_00026458	NIN	NIN	control	treated	0.00202207292993955	316
geneComp_00037996	ZBTB49	ZBTB49	control	treated	0.00219055430335758	317
geneComp_00020477	HSD17B6	HSD17B6	control	treated	0.0022583840098042	318
geneComp_00020022	HERC2P3	HERC2P3	control	treated	0.00232361335246477	319
geneComp_00037074	UHRF1BP1L	UHRF1BP1L	control	treated	0.00233808890471855	320
geneComp_00023992	LYPLAL1-AS1	LYPLAL1-AS1	control	treated	0.0023446700501647	321
geneComp_00015592	CORO6	CORO6	control	treated	0.00238508956758026	322
geneComp_00032114	RPL7L1	RPL7L1	control	treated	0.00243423855602345	323
geneComp_00033492	SLC25A5-AS1	SLC25A5-AS1	control	treated	0.00243722889261693	324
geneComp_00027404	OR8G3P	OR8G3P	control	treated	0.00249293466383444	325
geneComp_00021375	KCNJ15	KCNJ15	control	treated	0.00261371808286632	326
geneComp_00014360	CCDC189	CCDC189	control	treated	0.00265267912247655	327
geneComp_00033292	SIPA1L2	SIPA1L2	control	treated	0.00271257837979077	328
geneComp_00019006	GDAP1L1	GDAP1L1	control	treated	0.00272252140365974	329
geneComp_00016135	CYP19A1	CYP19A1	control	treated	0.00275229322091441	330
geneComp_00012660	ARID4B	ARID4B	control	treated	0.00276666786241563	331
geneComp_00036230	TPCN1	TPCN1	control	treated	0.00276666786241563	332
geneComp_00021001	INO80B	INO80B	control	treated	0.00277913853761151	333
geneComp_00016437	DEDD	DEDD	control	treated	0.00283972494015781	334
geneComp_00032176	RPP38	RPP38	control	treated	0.00286599364281118	335
geneComp_00036613	TSPO	TSPO	control	treated	0.00288898749794023	336
geneComp_00015811	CRYAB	CRYAB	control	treated	0.0028893665430711	337
geneComp_00018910	GARNL3	GARNL3	control	treated	0.00289407776462458	338
geneComp_00014683	CDCA4	CDCA4	control	treated	0.0030048580720432	339
geneComp_00024231	MAPT	MAPT	control	treated	0.00303982330587744	340
geneComp_00034721	ST3GAL4	ST3GAL4	control	treated	0.0031125687585593	341
geneComp_00027461	OSMR	OSMR	control	treated	0.0031606867370743	342
geneComp_00035114	TAF1A-AS1	TAF1A-AS1	control	treated	0.0031606867370743	343
geneComp_00038267	ZNF23	ZNF23	control	treated	0.00316394047339817	344
geneComp_00028400	PLBD1-AS1	PLBD1-AS1	control	treated	0.0032411025968981	345
geneComp_00036005	TMEM86B	TMEM86B	control	treated	0.00326973519202783	346
geneComp_00012613	ARHGAP45	ARHGAP45	control	treated	0.00328348453256791	347
geneComp_00004857	AC090023.2	AC090023.2	control	treated	0.00332120874731306	348
geneComp_00015140	CHST12	CHST12	control	treated	0.00332120874731306	349
geneComp_00035727	TM7SF2	TM7SF2	control	treated	0.00332120874731306	350
geneComp_00036974	UBFD1	UBFD1	control	treated	0.00340519811334761	351
geneComp_00018734	FUOM	FUOM	control	treated	0.00344952693477549	352
geneComp_00038234	ZNF189	ZNF189	control	treated	0.00362491963536284	353
geneComp_00016828	DOCK8-AS1	DOCK8-AS1	control	treated	0.00374701712371024	354
geneComp_00026383	NF2	NF2	control	treated	0.00387820341466953	355
geneComp_00023850	LRRC47	LRRC47	control	treated	0.00399495765018029	356
geneComp_00012447	AP4S1	AP4S1	control	treated	0.00402550358531865	357
geneComp_00018231	FBXO4	FBXO4	control	treated	0.00409011478811351	358
geneComp_00035338	TCF7L2	TCF7L2	control	treated	0.00417689490093215	359
geneComp_00034682	SSUH2	SSUH2	control	treated	0.00425854261677929	360
geneComp_00003992	AC066613.1	AC066613.1	control	treated	0.00427763307192875	361
